"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2023","57.30","58.10","58.60","56.70","5.10K","-0.35%"
"06/06/2023","57.50","58.00","58.10","57.30","219.53K","-1.03%"
"06/05/2023","58.10","58.80","59.00","57.00","27.75K","-1.19%"
"06/02/2023","58.80","57.30","59.00","57.30","51.20K","3.16%"
"06/01/2023","57.00","56.70","58.70","56.70","83.04K","0.53%"
"05/31/2023","56.70","58.00","58.00","56.60","4.44K","-0.35%"
"05/30/2023","56.90","57.30","57.30","56.60","14.36K","-0.70%"
"05/29/2023","57.30","59.00","59.00","57.00","27.59K","-3.70%"
"05/26/2023","59.50","56.20","59.50","56.00","90.92K","1.88%"
"05/25/2023","58.40","58.50","58.50","57.00","149.25K","-0.68%"
"05/24/2023","58.80","55.50","58.90","55.50","174.05K","1.38%"
"05/23/2023","58.00","57.00","58.00","55.00","124.02K","5.45%"
"05/22/2023","55.00","57.00","57.00","55.00","278.30K","-2.65%"
"05/19/2023","56.50","57.00","57.00","55.20","234.67K","-2.59%"
"05/18/2023","58.00","57.60","58.00","56.50","276.17K","0.87%"
"05/17/2023","57.50","58.00","58.40","56.10","317.00K","-1.03%"
"05/16/2023","58.10","58.00","59.00","57.00","1.39M","-1.53%"
"05/15/2023","59.00","58.40","59.90","58.00","244.46K","-1.67%"
"05/12/2023","60.00","60.20","60.20","59.00","194.82K","-0.33%"
"05/11/2023","60.20","57.50","61.60","56.00","391.61K","5.06%"
"05/10/2023","57.30","57.00","57.30","56.00","17.84K","-0.17%"
"05/09/2023","57.40","57.00","58.00","56.60","108.62K","-0.69%"
"05/08/2023","57.80","53.80","57.80","53.80","70.48K","7.04%"
"05/04/2023","54.00","53.00","56.00","53.00","117.57K","0.19%"
"05/03/2023","53.90","54.00","54.20","52.10","32.46K","0.75%"
"05/02/2023","53.50","56.00","56.10","53.50","122.31K","-5.48%"
"04/28/2023","56.60","57.00","57.00","56.50","80.22K","-0.70%"
"04/27/2023","57.00","58.00","58.00","56.70","32.34K","-2.56%"
"04/26/2023","58.50","57.80","58.90","57.60","136.03K","-0.51%"
"04/25/2023","58.80","58.00","59.40","57.80","66.47K","1.38%"
"04/24/2023","58.00","60.00","60.00","58.00","69.08K","-3.49%"
"04/21/2023","60.10","60.10","60.40","59.00","201.43K","0.00%"
"04/20/2023","60.10","60.00","60.50","60.00","100.91K","-0.17%"
"04/19/2023","60.20","61.00","61.00","60.00","35.85K","-3.37%"
"04/18/2023","62.30","64.00","64.00","60.00","57.96K","-1.11%"
"04/17/2023","63.00","64.00","64.00","62.50","14.52K","0.00%"
"04/12/2023","63.00","63.50","64.00","62.00","37.02K","0.00%"
"04/11/2023","63.00","62.50","63.30","62.00","83.42K","0.80%"
"04/10/2023","62.50","62.00","63.80","60.50","7.98K","-0.48%"
"04/06/2023","62.80","62.00","63.00","60.50","57.39K","0.96%"
"04/04/2023","62.20","62.00","62.90","60.40","37.56K","-1.11%"
"04/03/2023","62.90","63.10","63.10","60.30","104.59K","-0.16%"
"03/31/2023","63.00","63.60","65.00","62.50","82.42K","1.53%"
"03/30/2023","62.05","63.65","63.65","61.86","40.56K","-2.67%"
"03/29/2023","63.75","62.33","63.75","61.67","49.93K","3.21%"
"03/28/2023","61.77","63.28","64.69","61.67","203.42K","-0.46%"
"03/27/2023","62.05","63.28","63.28","61.58","285.12K","-0.61%"
"03/24/2023","62.43","61.39","64.22","61.39","123.04K","1.69%"
"03/23/2023","61.39","63.28","63.28","60.44","848.77K","-2.99%"
"03/22/2023","63.28","64.69","65.07","63.28","13.19K","-1.47%"
"03/21/2023","64.22","66.11","66.11","64.22","46.22K","-2.86%"
"03/20/2023","66.11","65.92","67.53","64.69","194.61K","-0.57%"
"03/17/2023","66.49","63.28","67.05","63.28","401.96K","3.53%"
"03/16/2023","64.22","64.79","65.17","63.37","16.25K","1.49%"
"03/15/2023","63.28","62.33","65.17","62.33","173.60K","1.52%"
"03/14/2023","62.33","63.09","63.75","61.86","139.06K","-1.49%"
"03/13/2023","63.28","63.28","63.84","60.92","194.67K","-1.18%"
"03/10/2023","64.03","65.17","65.17","62.33","69.84K","-3.00%"
"03/09/2023","66.02","67.05","67.05","64.98","88.79K","-1.55%"
"03/08/2023","67.05","67.90","67.90","65.26","368.06K","1.28%"
"03/07/2023","66.20","66.11","67.43","65.35","750.02K","1.89%"
"03/03/2023","64.98","64.22","66.49","64.22","613.09K","2.69%"
"03/02/2023","63.28","62.24","63.28","61.29","2.37M","3.08%"
